job_title,category,description,required_skills,recommended_courses,avg_salary_mad,demand_level
Chef Cuisinier,Hôtellerie,Superviser la préparation des plats et gérer l'équipe de cuisine. Créativité culinaire et hygiène.,"Cuisine,Gestion Équipe,Hygiène HACCP,Créativité","Institut Culinaire,Formation HACCP",5000-9000,Medium
Professeur Anglais,Éducation,Enseigner l'anglais à différents niveaux. Préparation de cours et évaluation des élèves.,"Anglais,Pédagogie,Communication,TOEFL/IELTS","TEFL Certification,British Council",4000-7000,Medium
Agent Commercial,Commercial,Prospecter et développer un portefeuille clients. Négociation et suivi commercial.,"Vente,Négociation,Prospection,CRM,Communication","Techniques de Vente,Salesforce CRM",4000-8000,High
Technicien Maintenance Informatique,Informatique,Assurer la maintenance des équipements informatiques. Dépannage hardware et software.,"Hardware,Software,Réseaux,Windows,Dépannage","CompTIA A+,Microsoft Certified",4000-7000,Medium
Graphiste,Design,Créer des visuels et supports de communication. Design graphique print et digital.,"Photoshop,Illustrator,InDesign,Créativité,Branding","Adobe Certified,Udemy Graphic Design",4500-9000,Medium
Analyste Financier,Finance,Analyser les performances financières et produire des rapports. Modélisation financière et prévisions.,"Finance,Excel,Modélisation,PowerBI,SQL","CFA Level 1,Financial Modeling",7000-13000,Medium
Réceptionniste Hôtel,Hôtellerie,Accueillir les clients et gérer les réservations. Service client de qualité et gestion administrative.,"Accueil,Langues,Communication,Gestion Réservations","Formation Hôtellerie,Customer Service",3500-6000,Medium
Responsable Logistique,Logistique,Optimiser la chaîne d'approvisionnement et gérer les stocks. Coordination transport et entreposage.,"Supply Chain,SAP,Gestion Stocks,Transport,Excel","CSCMP Certification,SAP Logistics",7500-14000,Medium
Développeur Java,Informatique,Développer des applications enterprise avec Java. Spring Boot et architectures microservices.,"Java,Spring Boot,Microservices,SQL,Maven,Git","Oracle Java Certification,Spring Framework",8000-15000,High
Ingénieur Qualité,Qualité,Mettre en place et suivre les processus qualité. Audits et amélioration continue.,"ISO 9001,Audit,Six Sigma,Amélioration Continue","ISO 9001 Lead Auditor,Six Sigma Green Belt",6500-12000,Medium
Pharmacien,Santé,Délivrer des médicaments et conseiller les patients. Gestion de stock et veille sanitaire.,"Pharmacie,Conseil Patient,Gestion Stocks,Législation","Formation Continue Pharmaciens,DU Pharmacie",6000-11000,Medium
Agent Call Center,Service Client,Gérer les appels clients et résoudre leurs problèmes. Service client téléphonique de qualité.,"Communication,Service Client,Langues,CRM,Patience","Customer Service Excellence,Communication Skills",3000-5500,High
Ingénieur Civil,Ingénierie,Concevoir et superviser des projets de construction. Gestion de chantiers et études techniques.,"BTP,AutoCAD,Gestion Chantier,Béton Armé,RDM","Ingénieur Civil Certifié,Project Management",7500-14000,Medium
Développeur .NET,Informatique,Développer des applications avec l'écosystème Microsoft. C# et ASP.NET Core.,"C#,ASP.NET,SQL Server,Azure,Entity Framework","Microsoft Certified,.NET Academy",7500-14000,High
Assistant RH,RH,Assister dans la gestion administrative du personnel. Recrutement et gestion de la paie.,"Administration RH,Recrutement,Paie,Excel,Droit Travail","Assistant RH Certification,Excel RH",4000-7000,Medium
Technicien Telecom,Télécommunications,Installer et maintenir les équipements de télécommunication. Fibre optique et réseaux mobiles.,"Télécommunications,Fibre Optique,Réseaux,GSM,Maintenance","OFPPT Telecom,Huawei Certification",4500-8000,Medium
Juriste d'Entreprise,Juridique,Conseiller sur les aspects juridiques des affaires. Rédaction de contrats et veille juridique.,"Droit Commercial,Contrats,Droit Social,Veille Juridique","Master Droit des Affaires,Barreau",6500-12000,Medium
Responsable Production,Production,Superviser la production industrielle et optimiser les processus. Gestion d'équipes et qualité.,"Gestion Production,Lean,5S,Management Équipe","Lean Manufacturing,Production Management",7000-13000,Medium
Mécanicien Automobile,Technique,Diagnostiquer et réparer les véhicules. Entretien et mécanique automobile.,"Mécanique Auto,Diagnostic,Entretien,Électronique Auto","Formation Mécanique,Certification Constructeur",3500-6500,Medium
Opérateur de Saisie,Administration,Saisir et traiter des données informatiques. Rigueur et rapidité de frappe.,"Saisie de Données,Excel,Bureautique,Rigueur","Bureautique Avancée,Excel Certification",3000-5000,Low
Business Analyst,Business,Analyser les besoins métier et proposer des solutions IT. Documentation et gestion de projet.,"Business Analysis,UML,SQL,JIRA,Agile","CBAP Certification,Business Analysis Course",7500-14000,High
Ingénieur Industriel,Ingénierie,Optimiser les processus de production industrielle. Amélioration continue et gestion de projet.,"Génie Industriel,Lean,Six Sigma,Gestion Projet","Industrial Engineering,Lean Six Sigma",7000-13000,Medium
Développeur Angular,Informatique,Créer des applications web avec Angular. TypeScript et développement frontend moderne.,"Angular,TypeScript,HTML,CSS,RxJS,Git","Angular Official,Udemy Angular Course",7500-14000,High
Agent de Sécurité,Sécurité,Assurer la sécurité des biens et des personnes. Surveillance et contrôle d'accès.,"Surveillance,Contrôle Accès,Premiers Secours,Vigilance","Formation Agent Sécurité,Premiers Secours",3000-5000,Medium
Chargé de Recrutement,RH,Gérer le processus de recrutement de A à Z. Sourcing et sélection de candidats.,"Recrutement,Sourcing,Entretiens,LinkedIn,ATS","LinkedIn Recruiter,Recrutement 2.0",5000-9000,High
Ingénieur Cybersécurité,Informatique,Protéger les systèmes informatiques contre les menaces. Tests de pénétration et audits de sécurité.,"Cybersécurité,Pentesting,SIEM,Cryptographie,Linux","CEH,CISSP,Offensive Security",10000-18000,High
Caissier,Commerce,Gérer les transactions de caisse et l'encaissement. Service client et gestion de la caisse.,"Caisse,Service Client,Calcul Mental,Rigueur","Formation Caissier,Service Client",3000-4500,Low
Contrôleur de Gestion,Finance,Élaborer les budgets et analyser les écarts. Reporting et tableaux de bord financiers.,"Contrôle Gestion,Excel,PowerBI,Finance,Reporting","Contrôleur Gestion Certifié,Excel Financier",6500-12000,Medium
Technicien Laboratoire,Santé,Réaliser des analyses médicales en laboratoire. Manipulation d'équipements et respect des protocoles.,"Analyses Médicales,Biochimie,Microbiologie,Qualité","Formation Technicien Labo,Bonnes Pratiques",4500-8000,Medium
Vendeur Magasin,Commerce,Conseiller et vendre des produits en magasin. Service client et merchandising.,"Vente,Service Client,Communication,Merchandising","Techniques de Vente,Excellence Service",3000-5500,Medium
Ingénieur Génie Civil,Ingénierie,Concevoir des structures et ouvrages d'art. Calculs de structures et études de sol.,"Génie Civil,RDM,Béton Armé,AutoCAD,Robot Structural","Calcul Structure,Génie Civil Avancé",7500-14000,Medium
Assistant Commercial,Commercial,Assister l'équipe commerciale dans les tâches administratives. Gestion CRM et suivi clients.,"Administration Ventes,CRM,Excel,Communication","Assistant Commercial,CRM Mastery",3500-6500,Medium
Développeur PHP,Informatique,Développer des applications web avec PHP. Laravel et gestion de bases de données.,"PHP,Laravel,MySQL,HTML,CSS,JavaScript","Laracasts,Udemy PHP Laravel",6500-12000,Medium
Responsable Marketing,Marketing,Définir et mettre en œuvre la stratégie marketing. Gestion de budget et analyse ROI.,"Marketing,Stratégie,Budget,Analytics,Management","Marketing Management,Digital Marketing",8000-15000,High
Électromécanicien,Technique,Maintenir et réparer les équipements électromécaniques. Diagnostic et intervention technique.,"Électromécanique,Automatisme,Maintenance,Schémas","OFPPT Électromécanique,Maintenance Industrielle",4500-8000,Medium
Éducateur Spécialisé,Social,Accompagner des personnes en difficulté sociale. Écoute et mise en place de projets éducatifs.,"Éducation Spécialisée,Écoute,Psychologie,Animation","Diplôme Éducateur,Formation Continue",4000-7000,Medium
Technicien Climatisation,Technique,Installer et entretenir des systèmes de climatisation. Froid et climatisation.,"Climatisation,Froid,Maintenance,Dépannage,Électricité","Formation Frigoriste,Certification Froid",4000-7500,Medium
Analyste de Données,Informatique,Analyser des données et créer des dashboards. SQL et visualisation de données.,"SQL,Python,PowerBI,Excel,Tableau,Statistics","DataCamp,PowerBI Certification",7000-13000,High
Gestionnaire de Paie,RH,Gérer la paie et les déclarations sociales. Calcul des salaires et veille légale.,"Paie,CNSS,Droit Social,Excel,Logiciels Paie","Gestionnaire Paie Certifié,Droit Social",5000-9000,Medium
Plombier,Technique,Installer et réparer les installations de plomberie. Sanitaire et chauffage.,"Plomberie,Sanitaire,Chauffage,Dépannage","OFPPT Plomberie,Formation Continue",3500-6500,Medium
Responsable Achats,Achats,Gérer les achats et négocier avec les fournisseurs. Optimisation des coûts et supply chain.,"Achats,Négociation,Supply Chain,SAP,Excel","Purchasing Management,SAP MM",7000-13000,Medium
Traducteur Français-Arabe,Langues,Traduire des documents du français vers l'arabe et vice-versa. Rigueur et maîtrise linguistique.,"Traduction,Français,Arabe,Rédaction,Culture","Master Traduction,SDL Trados",4500-8000,Medium
Agent Administratif,Administration,Gérer les tâches administratives courantes. Classement et saisie de documents.,"Bureautique,Excel,Word,Organisation,Rigueur","Bureautique Complète,Organisation Admin",3000-5500,Medium
Ingénieur Agronome,Agriculture,Optimiser la production agricole et conseiller les exploitants. Agronomie et gestion de projets.,"Agronomie,Agriculture,Gestion Projet,Irrigation","Ingénieur Agronome,Agriculture Durable",6000-11000,Medium
Développeur React Native,Informatique,Développer des applications mobiles avec React Native. JavaScript et développement cross-platform.,"React Native,JavaScript,Redux,Firebase,REST API","Udemy React Native,React Native School",7500-14000,High
Chef d'Équipe BTP,BTP,Superviser une équipe sur chantier. Organisation et respect des délais.,"Gestion Équipe,BTP,Lecture Plans,Sécurité,Management","Chef de Chantier,Management Équipe",5500-10000,Medium
Auditeur Interne,Audit,Réaliser des audits internes et évaluer les risques. Conformité et amélioration des processus.,"Audit,ISO,Risques,Reporting,Analyse","CIA Certification,Audit Interne",7000-13000,Medium
Développeur Vue.js,Informatique,Créer des interfaces web avec Vue.js. JavaScript moderne et state management.,"Vue.js,JavaScript,Vuex,HTML,CSS,REST API","Vue Mastery,Udemy Vue Complete",7000-13000,High
Kinésithérapeute,Santé,Rééduquer les patients et traiter les troubles moteurs. Massages et physiothérapie.,"Kinésithérapie,Rééducation,Anatomie,Massages","Diplôme Kinésithérapeute,Formation Continue",5000-10000,High
Responsable Qualité,Qualité,Gérer le système qualité de l'entreprise. Audits et certification ISO.,"Qualité,ISO 9001,Audit,Amélioration Continue","ISO Lead Auditor,Manager Qualité",7000-13000,Medium
Opérateur Production,Production,Conduire des machines de production. Respect des cadences et qualité.,"Production,Machines,Qualité,Sécurité,Rigueur","Formation Opérateur,Sécurité Production",3500-6000,Low
Designer Graphique Motion,Design,Créer des animations et motion design. After Effects et créativité visuelle.,"After Effects,Motion Design,Illustrator,Créativité","School of Motion,Motion Design Course",6000-11000,Medium
Ingénieur Télécoms,Télécommunications,Concevoir et déployer des réseaux télécoms. 4G/5G et infrastructure réseau.,"Télécommunications,Réseaux,4G/5G,Microondes,IP","Telecom Engineer,Huawei Certification",8000-15000,Medium
Responsable E-commerce,E-commerce,Gérer une plateforme e-commerce. Stratégie digitale et optimisation des ventes en ligne.,"E-commerce,SEO,Marketing Digital,Analytics,CMS","E-commerce Management,Shopify Expert",7000-14000,High
Secrétaire Médicale,Santé,Gérer l'accueil et le secrétariat médical. Prise de rendez-vous et dossiers patients.,"Secrétariat,Médical,Accueil,Terminologie Médicale","Secrétaire Médicale,Terminologie Médicale",3500-6000,Medium
Développeur Symfony,Informatique,Développer avec le framework Symfony. PHP et architecture MVC.,"Symfony,PHP,Doctrine,MySQL,Twig,Git","SymfonyCasts,Udemy Symfony",7000-13000,High
Agent Immobilier,Immobilier,Vendre et louer des biens immobiliers. Prospection et négociation.,"Immobilier,Négociation,Vente,Prospection,Juridique","Agent Immobilier,Techniques Négociation",4000-10000,High
Développeur Blockchain,Informatique,Développer des smart contracts et applications décentralisées. Solidity et Web3.,"Blockchain,Solidity,Web3,Ethereum,Smart Contracts","Blockchain Developer,Ethereum Course",10000-18000,High
Responsable Maintenance,Maintenance,Gérer la maintenance préventive et curative. Organisation et gestion d'équipes techniques.,"Maintenance,GMAO,Management,Électromécanique","Responsable Maintenance,GMAO",6500-12000,Medium
Formateur Professionnel,Formation,Animer des formations professionnelles. Pédagogie et ingénierie de formation.,"Formation,Pédagogie,Animation,Ingénierie Formation","Formateur Professionnel d'Adultes,Pédagogie",4500-8500,Medium
Développeur Unity,Informatique,Développer des jeux vidéo avec Unity. C# et game design.,"Unity,C#,Game Development,3D,Scripting","Unity Learn,Game Dev Course",7000-14000,Medium
Courtier Assurance,Assurance,Conseiller et vendre des produits d'assurance. Prospection et gestion de portefeuille.,"Assurance,Vente,Conseil,Prospection,Juridique","Courtier Assurance,Produits Assurance",5000-11000,Medium
Ingénieur Maintenance,Maintenance,Assurer la maintenance des équipements industriels. GMAO et amélioration continue.,"Maintenance,Électromécanique,GMAO,Diagnostic","Ingénieur Maintenance,TPM",6500-12000,Medium
Scrum Master,Management,Faciliter l'agilité et accompagner les équipes Scrum. Coaching agile et gestion de projet.,"Scrum,Agile,Coaching,JIRA,Facilitation","Certified Scrum Master,Agile Coach",8000-15000,High
Développeur Django,Informatique,Développer des applications web avec Django. Python et REST APIs.,"Django,Python,PostgreSQL,REST API,Docker","Django for Professionals,Real Python",7500-14000,High
Conseiller Clientèle,Service Client,Conseiller les clients et gérer leur satisfaction. Relation client et fidélisation.,"Service Client,Communication,CRM,Vente,Écoute","Excellence Service Client,Relation Client",3500-6500,Medium
Chef de Produit,Product Management,Définir la roadmap produit et gérer le cycle de vie. Product management et stratégie.,"Product Management,Roadmap,Agile,Analytics,UX","Product Management,Product School",8000-15000,High
Développeur iOS,Informatique,Développer des applications natives iOS. Swift et écosystème Apple.,"Swift,iOS,Xcode,UIKit,SwiftUI","iOS Development,Stanford Swift",8000-15000,High
Responsable Rayon,Commerce,Gérer un rayon en grande distribution. Merchandising et gestion de stock.,"Merchandising,Gestion Stocks,Management,Commerce","Manager Rayon,Merchandising",4500-8000,Medium
Développeur Android,Informatique,Développer des applications natives Android. Kotlin et Android SDK.,"Android,Kotlin,Java,Android Studio,REST API","Android Developer,Kotlin Course",7500-14000,High
Conseiller en Insertion,Social,Accompagner les personnes vers l'emploi. Coaching et orientation professionnelle.,"Insertion,Coaching,Orientation,Communication","Conseiller Insertion,Coaching Emploi",4000-7000,Medium
Ingénieur Big Data,Informatique,Gérer et analyser de grandes masses de données. Hadoop et Spark.,"Big Data,Hadoop,Spark,Python,SQL,Scala","Big Data Engineer,Hadoop Admin",10000-18000,High
Acheteur,Achats,Négocier et acheter des produits ou services. Sourcing et gestion fournisseurs.,"Achats,Négociation,Sourcing,SAP,Excel","Acheteur Professionnel,Négociation",6000-11000,Medium
Développeur Magento,Informatique,Développer et personnaliser des sites e-commerce Magento. PHP et e-commerce.,"Magento,PHP,E-commerce,MySQL,JavaScript","Magento Developer,E-commerce Development",7000-13000,Medium
Infographiste 3D,Design,Créer des modèles et animations 3D. Modélisation et rendu 3D.,"3D,Blender,3ds Max,Maya,Rendering,Animation","Blender Guru,3D Modeling Course",5500-10000,Medium
Responsable HSE,Sécurité,Gérer la santé sécurité environnement. Prévention des risques et conformité.,"HSE,Sécurité,Environnement,ISO 45001,Audit","Responsable HSE,ISO 45001",6500-12000,Medium
